task_id	hash	name	process	status	exit	container	cpus	time	disk	memory	rss	%cpu	%mem	vmem	peak_rss	peak_vmem	submit	start	complete	duration	realtime	rchar	wchar	read_bytes	write_bytes	workdir
4	ea/61d4a5	FILTER_READS (4)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	51.1%	0.0%	16.3 MB	0	0	2023-11-21 13:45:17.974	2023-11-21 13:45:18.080	2023-11-21 13:45:21.916	3.9s	1.9s	0	0	0	0	/root/pipeline_test/work/ea/61d4a542a873d2c24b138a60829791
15	3a/c01c83	FILTER_READS (15)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	47.9%	0.0%	16.3 MB	0	0	2023-11-21 13:45:18.067	2023-11-21 13:45:18.208	2023-11-21 13:45:22.138	4.1s	2.1s	0	0	0	0	/root/pipeline_test/work/3a/c01c835cca3932e423d7d4dbe5ec33
12	1a/ded7ec	FILTER_READS (12)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	45.5%	0.0%	16.3 MB	0	0	2023-11-21 13:45:17.963	2023-11-21 13:45:18.080	2023-11-21 13:45:22.157	4.2s	2.2s	0	0	0	0	/root/pipeline_test/work/1a/ded7ec6a0da066451bf4c41008d2a9
10	81/9e6110	FILTER_READS (10)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	36.1%	0.0%	16.3 MB	0	0	2023-11-21 13:45:18.007	2023-11-21 13:45:18.083	2023-11-21 13:45:22.272	4.3s	2.3s	0	0	0	0	/root/pipeline_test/work/81/9e611094035db20b69ed0585732e1f
1	dc/5b0e6a	FILTER_READS (1)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	49.0%	0.0%	16.3 MB	0	0	2023-11-21 13:45:18.112	2023-11-21 13:45:18.309	2023-11-21 13:45:22.297	4.2s	1.9s	0	0	0	0	/root/pipeline_test/work/dc/5b0e6ad7b0c74f2b40a454d29f9df4
9	70/b71189	FILTER_READS (9)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	40.5%	0.0%	16.3 MB	0	0	2023-11-21 13:45:17.940	2023-11-21 13:45:17.960	2023-11-21 13:45:22.309	4.4s	2.3s	0	0	0	0	/root/pipeline_test/work/70/b711894807219290080a7e69ffd936
14	e0/f7a516	FILTER_READS (14)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	42.5%	0.0%	16.3 MB	0	0	2023-11-21 13:45:18.051	2023-11-21 13:45:18.207	2023-11-21 13:45:22.317	4.3s	2.4s	0	0	0	0	/root/pipeline_test/work/e0/f7a516d831ec9d2805eaf0290e5ba7
11	6f/da9203	FILTER_READS (11)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	50.7%	0.0%	16.3 MB	0	0	2023-11-21 13:45:18.027	2023-11-21 13:45:18.085	2023-11-21 13:45:22.330	4.3s	2.1s	0	0	0	0	/root/pipeline_test/work/6f/da92039c104d1b4b9a724ca0bfff1f
7	fe/c774bf	FILTER_READS (7)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	45.8%	0.0%	16.3 MB	0	0	2023-11-21 13:45:18.042	2023-11-21 13:45:18.206	2023-11-21 13:45:22.346	4.3s	2.4s	0	0	0	0	/root/pipeline_test/work/fe/c774bf67a0775709d6f2f410572209
16	3c/d9d0e3	FILTER_READS (16)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	43.1%	0.0%	16.3 MB	0	0	2023-11-21 13:45:18.241	2023-11-21 13:45:18.312	2023-11-21 13:45:22.352	4.1s	2.4s	0	0	0	0	/root/pipeline_test/work/3c/d9d0e3f20a3d68cde58be3047c7347
13	ce/549cab	FILTER_READS (13)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	38.4%	0.0%	16.3 MB	0	0	2023-11-21 13:45:17.952	2023-11-21 13:45:18.076	2023-11-21 13:45:22.382	4.4s	2.4s	0	0	0	0	/root/pipeline_test/work/ce/549cabcc1070403b93147eede2d787
6	06/8d06a8	FILTER_READS (6)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	48.7%	0.0%	16.3 MB	0	0	2023-11-21 13:45:17.996	2023-11-21 13:45:18.082	2023-11-21 13:45:22.388	4.4s	1.6s	0	0	0	0	/root/pipeline_test/work/06/8d06a88184bef62a6e7e94cc73500d
2	dd/8b5a8d	FILTER_READS (2)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	54.2%	0.0%	16.3 MB	0	0	2023-11-21 13:45:17.984	2023-11-21 13:45:18.082	2023-11-21 13:45:22.440	4.5s	1.8s	0	0	0	0	/root/pipeline_test/work/dd/8b5a8d37acde69b24e6ebd7bbebb05
3	51/f9adde	FILTER_READS (3)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	55.1%	0.0%	16.3 MB	0	0	2023-11-21 13:45:18.017	2023-11-21 13:45:18.084	2023-11-21 13:45:22.447	4.4s	1.8s	0	0	0	0	/root/pipeline_test/work/51/f9addeb8db301439b3ecc48e754665
5	30/74cdff	FILTER_READS (5)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	35.7%	0.0%	16.3 MB	0	0	2023-11-21 13:45:18.080	2023-11-21 13:45:18.208	2023-11-21 13:45:22.465	4.4s	2.1s	0	0	0	0	/root/pipeline_test/work/30/74cdffe7b2f4319db4d69644028d9b
8	53/c694a2	FILTER_READS (8)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	48.4%	0.0%	16.3 MB	0	0	2023-11-21 13:45:18.148	2023-11-21 13:45:18.310	2023-11-21 13:45:22.471	4.3s	1.7s	0	0	0	0	/root/pipeline_test/work/53/c694a230609faaef2bcdc93b951c48
18	f7/c98d86	INTERSECT_COUNTS (2)	INTERSECT_COUNTS	COMPLETED	0	-	1	-	-	-	0	33.3%	0.0%	0	0	0	2023-11-21 13:45:22.512	2023-11-21 13:45:22.587	2023-11-21 13:45:24.704	2.2s	228ms	0	0	0	0	/root/pipeline_test/work/f7/c98d863598dadabd0bb2722007d171
25	4f/8d11d6	INTERSECT_COUNTS (9)	INTERSECT_COUNTS	COMPLETED	0	-	1	-	-	-	0	19.7%	0.0%	0	0	0	2023-11-21 13:45:22.528	2023-11-21 13:45:22.587	2023-11-21 13:45:24.775	2.2s	266ms	0	0	0	0	/root/pipeline_test/work/4f/8d11d6d491e0d40b2b691e3322f8c1
20	6a/6b7972	INTERSECT_COUNTS (4)	INTERSECT_COUNTS	COMPLETED	0	-	1	-	-	-	1.6 MB	15.3%	0.0%	16.3 MB	0	0	2023-11-21 13:45:22.657	2023-11-21 13:45:22.696	2023-11-21 13:45:24.782	2.1s	489ms	0	0	0	0	/root/pipeline_test/work/6a/6b79729cd60c508bd9cdb825365b8f
23	be/756dad	INTERSECT_COUNTS (7)	INTERSECT_COUNTS	COMPLETED	0	-	1	-	-	-	0	24.0%	0.0%	0	0	0	2023-11-21 13:45:22.535	2023-11-21 13:45:22.588	2023-11-21 13:45:24.794	2.3s	267ms	0	0	0	0	/root/pipeline_test/work/be/756dad806d111ca5614c4f1ec72867
32	a5/c7ab1d	INTERSECT_COUNTS (16)	INTERSECT_COUNTS	COMPLETED	0	-	1	-	-	-	0	25.7%	0.0%	0	0	0	2023-11-21 13:45:22.542	2023-11-21 13:45:22.593	2023-11-21 13:45:24.894	2.4s	414ms	0	0	0	0	/root/pipeline_test/work/a5/c7ab1d62c7dc1bff3fe2f284583fd6
17	ab/7f63c6	INTERSECT_COUNTS (1)	INTERSECT_COUNTS	COMPLETED	0	-	1	-	-	-	0	25.8%	0.0%	0	0	0	2023-11-21 13:45:22.571	2023-11-21 13:45:22.594	2023-11-21 13:45:24.899	2.3s	272ms	0	0	0	0	/root/pipeline_test/work/ab/7f63c6ee88a42ad9a8a95dcecc9d34
31	d7/c958bb	INTERSECT_COUNTS (15)	INTERSECT_COUNTS	COMPLETED	0	-	1	-	-	-	0	22.2%	0.0%	0	0	0	2023-11-21 13:45:22.633	2023-11-21 13:45:22.695	2023-11-21 13:45:24.905	2.3s	237ms	0	0	0	0	/root/pipeline_test/work/d7/c958bbb3fe5e87f90af9975ff5e5df
21	17/fc8b6b	INTERSECT_COUNTS (5)	INTERSECT_COUNTS	COMPLETED	0	-	1	-	-	-	0	23.3%	0.0%	0	0	0	2023-11-21 13:45:22.549	2023-11-21 13:45:22.593	2023-11-21 13:45:24.915	2.4s	325ms	0	0	0	0	/root/pipeline_test/work/17/fc8b6b05934d680cfe78dd54698c20
24	45/c16675	INTERSECT_COUNTS (8)	INTERSECT_COUNTS	COMPLETED	0	-	1	-	-	-	0	16.8%	0.0%	0	0	0	2023-11-21 13:45:22.564	2023-11-21 13:45:22.594	2023-11-21 13:45:24.926	2.4s	435ms	0	0	0	0	/root/pipeline_test/work/45/c166752763d7b37920d86b0c173e5c
30	84/33fa0b	INTERSECT_COUNTS (14)	INTERSECT_COUNTS	COMPLETED	0	-	1	-	-	-	0	28.8%	0.0%	0	0	0	2023-11-21 13:45:22.521	2023-11-21 13:45:22.587	2023-11-21 13:45:24.974	2.5s	243ms	0	0	0	0	/root/pipeline_test/work/84/33fa0bab6c5291e34557bb9bd830eb
22	e9/9ecdc5	INTERSECT_COUNTS (6)	INTERSECT_COUNTS	COMPLETED	0	-	1	-	-	-	0	21.2%	0.0%	0	0	0	2023-11-21 13:45:22.557	2023-11-21 13:45:22.594	2023-11-21 13:45:24.982	2.4s	327ms	0	0	0	0	/root/pipeline_test/work/e9/9ecdc55eaabf0f09b1c1aaf283b4fa
